Artist,Song
Birdy,Tee Shirt
Beyoncé,Best Thing I Never Had
Rihanna,Take A Bow
Rihanna,Unfaithful
Rihanna;Ne-Yo,Hate That I Love You
Birdy,Not About Angels
Ne-Yo,So Sick
Mariah Carey,We Belong Together
Alicia Keys,If I Ain't Got You
Kelly Clarkson,Because of You
Lana Del Rey,Young And Beautiful
Coldplay,The Scientist
Christina Perri,Jar of Hearts
Lady Antebellum,Need You Now
Ariana Grande;Nathan Sykes,Almost Is Never Enough
Mario,Let Me Love You
Bruno Mars,Talking To The Moon
Demi Lovato,Skyscraper
Glee Cast,Mine (Glee Cast Version)
Justin Bieber,That Should Be Me
The Weeknd;Ed Sheeran,Dark Times
Ed Sheeran,I'm A Mess
Ed Sheeran,Bloodstream
Ruth B.,Lost Boy
Ruth B.,Lost Boy
Ruth B.,Lost Boy
One Direction,Long Way Down
One Direction,I Want to Write You a Song
One Direction,More Than This
One Direction,Moments
One Direction,Love You Goodbye
Hands Like Houses,Torn
Jasmine Thompson,Everybody Hurts
Birdy;RHODES,Let It All Go
Katie Buxton,You Flew
Coldplay,Fix You
Sleeping At Last,As Long As You Love Me
The Cinematic Orchestra;Patrick Watson,To Build A Home
A Fine Frenzy,Almost Lover
Matt Cardle,I Can't Make You Love Me (Live)
A Great Big World;Christina Aguilera,Say Something
Kina Grannis,Iris
Sarah Walk,Maybe Someday
Luke Sital-Singh,Killing Me
John Adams,I'm Like a Bird
Matt Simons,To The Water
Corinne Bailey Rae,"The Scientist - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
Facing West,The Unforgiven
Jennifer Ann,Mad World
Lorne,Oil and Water
James Morrison;Nelly Furtado,Broken Strings
Mama Ghost,I Ran
Oh Wonder,Waste
TRIIBES,Be Mine - Acoustic
Sam Smith,Too Good At Goodbyes - Edit
Ella Poletti,More Than You Know
Kodaline,All I Want
SAPPHIRE,Million Reasons
Aaron Espe,Yourself
BROOKFIELD,Something Good (Hold On)
Ryland James,Good to You
Jacob Wellfair,Dancing On My Own
Shaznay Lewis,You - Single Version
Corey Kilgannon,Hospital Hymns
Grace Grundy,I Took a Pill in Ibiza
Harry Strange,Back Around
Billie Eilish;Astronomyy,Ocean Eyes - Astronomyy Remix
Tom Odell,Heal
MyKey,Like I Used To
Oh Wonder,White Blood
Jenna Chessall,Not About Angels
Belle Mt,Hollow
Anna Elizabeth Laube,Time to Move On
Beth,Wildest Dreams
Aquilo,I Gave It All
Scott Quinn,From Afar
Johnny Stimson,Ghost
Hattie Webb,Rhythm of the Night (Acoustic)
Gabrielle Aplin,Waking Up Slow - Piano
Christina Aguilera,Lift Me Up
Kris Angelis,Built This House
Tom Odell,Long Way Down
Kodaline,High Hopes
Past Midnight,I Don't Wanna Live Forever
Arctic Lake,Heal Me
Jasmine Thompson,Let Her Go
Conrad Sewell,Start Again
Ace of Base,Everytime It Rains
Beth,Wake Me Up
Seann Bowe,Freak on a Leash
Gavin James,Sorry - Live
Cascada,Why You Had to Leave - Acoustic Edit
Past Midnight,Crying in the Club
Katy Perry,Miss You More
Canyon City,Be Still
Matt Alber,I Wanna Dance With Somebody
Jennifer Ann,Crawling
SYML,Where's My Love - Alternate Version
Kodaline,Love Like This - Acoustic
Alex Parks,Maybe That's What It Takes
Julia Ross,It Only Hurts When I'm Awake
Katy Perry,Into Me You See
Cascada,Hungover
Ed Sheeran,Supermarket Flowers
Lady Antebellum,Hurt
Grace Grundy,Scared to Be Lonely
Toni Braxton,Un-Break My Heart
Jessie Early,Body Can't Hold
emaé,Better
James Bay,Let It Go
We The Kings;Elena Coats,Sad Song (feat. Elena Coats)
DENM,Hey Ya
Sia,Breathe Me
Aquilo,Almost Over
Kygo;RHODES,Not Alone
Daisy Clark,Hopelessly Devoted To You
Karen Elson,Distant Shore
Kris Angelis,Life Support
John Adams,Nothing Compares - (Live)
Dinachi,A Song for Dolu
LÉON,Dreams - Recorded at Spotify Studios NYC
Sarah Walk,Still Frames
Rupert Stroud,Over
Oh Wonder,All We Do
Little Hours,Water
Grace Grundy,Never Be Like You
Alex Parks,So Emotional
RHODES,Breathe
Suzan & Freek,Don't Let Me Down
Honeyz,End Of The Line - Rude Boy Mix
Adele,Love In The Dark
Pablo Nouvelle;Lulu James,All I Need
Natalie Imbruglia,Smoke
Grace Grundy,Final Song
Gabrielle,Should I Stay
Birdy,Ghost in the Wind
Dido,My Lover's Gone
Joel Adams,Please Don't Go
James Blunt,Goodbye My Lover
The Civil Wars,Poison & Wine
Ultra Nate,It's Crying Time
Adele,Someone Like You
Ed Sheeran,Autumn Leaves - Deluxe Edition
Grace Grundy,Running Out
Emma White,I CAN'T TELL YA NOW
Charming Horses;Grace Grundy,Higher Love - Acoustic Mix
Kina Grannis,Tearin' Up My Heart
Tris Day,Bones
Gavin James,Bitter Pill
Nicole Scherzinger,Run
Cascada,Everytime I Hear Your Name - Acoustic Edit
Lauren Aquilina,How Would You Like It?
Imagine Dragons,Not Today
Frances,Let It Out
Athlete,Wires
Jasmine Thompson,Titanium
Jesse & Joy,Echoes Of Love
One Eskimo,UFO
Grace Grundy,(Everything I Do) I Do It for You
Roxette,It Must Have Been Love
CLOVES,Don't Forget About Me
Annie Lennox,Why
Christina Perri,Jar of Hearts
Olive,Smile
Astrid S,Paper Thin - Live From Studio
The Calling,Stigmatized
Gavin James,Nervous - Acoustic
Florence + The Machine,Long & Lost
Tom Odell,Another Love
Ron Pope,A Drop In The Ocean
The Corrs,What Can I Do
Maria Mena,I Don't Wanna See You with Her
Christopher,Heartbeat
Macy Gray,Still
Max Jury,Numb
Coldplay,Trouble
Jenna Chessall,Scars to Your Beautiful
Aqua,Turn Back Time
Cascada,Hungover - Acoustic Edit
Janet Devlin,Things We Lost in the Fire
Grace Grundy,What Is Love
Diana Vickers,Notice
Anthony Mossburg,Carolina
No Doubt,Don't Speak
Britney Spears,Everytime
All Saints,Who Hurt Who
Jess Glynne,Take Me Home
Kristian Leontiou,Hanging
Leona Lewis,Run
Alex Parks,Cry
Agnes,I Need You Now
All Saints;Unknown,Never Ever
Ed Sheeran,The A Team
Birdy,Deep End
Everything But The Girl,Missing
City and Colour,Lover Come Back
Christina Aguilera,Hurt
Walking On Cars,Always Be With You
Daughter,Youth
Mumford & Sons,The Cave
Andrew McMahon in the Wilderness,Cecilia And The Satellite
Birdy,Skinny Love
The Fray,Look After You
The Fray,How to Save a Life
We The Kings;Elena Coats,Sad Song
The Fray,You Found Me
The Fray,Never Say Never
The Fray,Look After You
The Fray,Where the Story Ends
The Fray,Enough for Now
The Fray,Ungodly Hour
The Fray,Happiness
The Fray,Over My Head (Cable Car)
The Fray,Hundred
Train,Drops of Jupiter
Coldplay,Fix You
Coldplay,The Scientist
Coldplay,Yellow
The Script,For the First Time
The Script,Nothing
The Script,Long Gone and Moved On
The Script,No Good in Goodbye
The Script,Six Degrees of Separation
The Script,The Man Who Can't Be Moved
The Script,Before the Worst
Shawn Mendes,Life Of The Party
Howie Day,Collide
Mumford & Sons,Believe
Ed Sheeran,Friends
Ed Sheeran,U.N.I.
Ed Sheeran,Give Me Love
Kodaline,All I Want
Birdy,Not About Angels
Demi Lovato,Fix A Heart
Jason Walker,Echo
Bastille,Oblivion
Birdy,Wings
Demi Lovato,Warrior
Parachute,Kiss Me Slowly
Demi Lovato,In Case
Sia,Breathe Me
Ross Copperman,Holding On And Letting Go
Matt Simons;Deepend,Catch & Release (Deepend remix)
Bastille,Overjoyed
Mumford & Sons,Tompkins Square Park
Five For Fighting,100 Years
Shawn Mendes,Kid In Love
Shawn Mendes,Never Be Alone
Rixton,Hotel Ceiling
Rixton,Whole
First Aid Kit,My Silver Lining
Shawn Mendes,The Weight
Shawn Mendes,Aftertaste
Troye Sivan,FOOLS
Shawn Mendes,This Is What It Takes
Shawn Mendes,A Little Too Much
Kodaline,The One
The Civil Wars,Poison & Wine
Rascal Flatts,My Wish - Remastered Version
Shawn Mendes,One Of Those Nights
Bear's Den,Elysium
Vance Joy,Fire and the Flood
Oh Wonder,All We Do
Jaymes Young,I'll Be Good
James Bay,Let It Go
Kaleo,Way Down We Go
The Vamps,Stolen Moments
The Lumineers,Stubborn Love
Rascal Flatts,What Hurts The Most
Alex & Sierra,Little Do You Know
Birdy,People Help The People
Sara Bareilles,She Used To Be Mine
Oh Wonder,Lose It
James Arthur;Chasing Grace,Certain Things
CLOVES,Don't Forget About Me
Hozier,Work Song
Demi Lovato,Stone Cold
Troye Sivan,TALK ME DOWN
Frances,Don't Worry About Me
Vera Blue,Settle
Broods,Free
Jeffrey James,Waiting for the Breakdown
Maggie Rose,Same Sky
Blossoms,Getaway
Ryan Adams,Oh My Sweet Carolina
Astrid S,Hurts So Good
Gentle Bones,Geniuses & Thieves
The Strumbellas,Spirits
Kodaline,Love Like This - Acoustic
MisterWives,Riptide
Calum Scott,Dancing On My Own
Jon Bellion,All Time Low
Glass Animals,Youth
DENM,Under Pressure
Frances,Say It Again
Palace,Break The Silence
Shawn Mendes,Mercy
Mansionair,Easier
Emily James,Say Goodbye
RY X,Berlin
Jon Cresswell,Gift Wrapped
Dan Mills,Hold On
Lewis Capaldi,Lost On You
Tim Schou,Novocaine
Dean Lewis,Waves - Acoustic
Maximillian,Higher
Tyler Hilton,Stay
Dave Thomas Junior,Making Mistakes & Wasting Time
Jessica Mitchell,Don't Love Me
Rhys Lewis,Be Your Man
Snow Patrol,Chasing Cars
Logic,44 Bars
Russ,Losin Control
6LACK,Worst Luck
Stormzy,100 Bags
EDEN,drugs
NF,How Could You Leave Us
G-Eazy;Bebe Rexha,"Me, Myself & I"
G-Eazy;Kehlani,Everything Will Be OK
G-Eazy;Dominique Le Jeune,Marilyn (feat. Dominique Le Jeune)
Logic,Nikki
Post Malone,I Fall Apart
NF;Fleurie,Mansion
Eminem;Dido,Stan
Russ,Pull The Trigger
NF,Oh Lord
Jez Dior;Danny Sore,Bleach - Feat. Danny Sore
NF,Only One
Drake,Legend
Lil Wayne,How To Love
Eminem;Sia,Beautiful Pain
Eminem,Space Bound
Eminem,When I'm Gone
Big Sean;Kanye West;John Legend,One Man Can Change The World
Guy Sebastian;Lupe Fiasco,Battle Scars
Eminem,Mockingbird
Drake,Look What You've Done
Drake,Marvins Room
Social Club Misfits;Tree Giants,Courage
6LACK,Ex Calling
Futuristic;NF,Epiphany (feat. NF)
Machine Gun Kelly;Victoria Monet,A Little More
Eminem,Lose Yourself - Soundtrack Version
Post Malone,Go Flex
NF;Andreas Moss,Lost In The Moment
Desiigner,Overnight
Macklemore;Ariana DeBoo,Drug Dealer (feat. Ariana DeBoo)
Akon,"Sorry, Blame It On Me - Main"
G-Eazy;Chris Brown;Tory Lanez,Drifting
Joyner Lucas,I'm Sorry
Post Malone,Too Young
Drake,Doing It Wrong
Eminem;Sia,Guts Over Fear
Propaganda;Andy Mineo;JGivens,How Did We Get Here
6LACK,Luving U
6LACK,Gettin' Old
6LACK,Free
KSI,Transforming
Post Malone;Kehlani,Feel
G-Eazy;Quin,Think About You
6LACK,MTFU
Frank Ocean,Thinkin Bout You
Kanye West,Real Friends
Drake,Fire & Desire
Eminem;Gwen Stefani,Kings Never Die
Lil Wayne;Eminem,Drop The World
Eminem;Lil Wayne,No Love
Eminem,Not Afraid
Macklemore & Ryan Lewis,Otherside (feat. Fences) [Ryan Lewis Remix]
J. Cole,Love Yourz
Lil Wayne;Bruno Mars,Mirror
Russ,Moonlight in Atlanta
XXXTENTACION,Everybody Dies In Their Nightmares
XXXTENTACION,Jocelyn Flores
blackbear,Idfc
Matt Corman,Tell Me Lies
XXXTENTACION,Orlando
Sik World,Reflection
6LACK,Learn Ya
XXXTENTACION,Carry On
Andy Mineo;Mac Powell,Make Me a Believer
Ivan B,I'm Sorry
Immortal Technique,Dance With the Devil
Joey Bada$$,500 Benz
6LACK,Alone / EA6
Bryson Tiller,Exchange
The Game,Better
KB,Crowns & Thorns (Oceans)
Sik World,7 Years (Remix)
blackbear,Verbatim
Drake;Rihanna,Take Care
Eminem,Beautiful
Joyner Lucas,Ross Capicchioni
"Tyler, The Creator",Bastard
B.o.B,Don't Let Me Fall
Ivan B,Don't Look Down
Futuristic,Music Saved My Life
6LACK,Loyal
Mobb Deep,"Shook Ones, Pt. II"
Bryson Tiller,Don't
SCH,Fusil
SCH,Anarchie
PNL,Le monde ou rien
Ivan B;Breana Marin,Didn't Know Better (feat. Breana Marin)
Eminem;Beyoncé,Walk On Water (feat. Beyoncé)
Birdy,Tee Shirt
AURORA,Half The World Away
Daughter,Youth
Gary Jules;Michael Andrews,Mad World (Feat. Michael Andrews)
Birdy,Not About Angels
Sia,Breathe Me
Ed Sheeran,Even My Dad Does Sometimes
Ed Sheeran,The A Team
Halsey,Trouble - Stripped
The Fray,How to Save a Life
Jeff Buckley,Hallelujah
P!nk,F**kin' Perfect
The Script,Breakeven
Ariana Grande;Big Sean,Best Mistake
Twenty One Pilots,Car Radio
Twenty One Pilots,Goner
Justin Bieber,Life Is Worth Living
Beyoncé,Irreplaceable
Beyoncé,Best Thing I Never Had
gnash;Olivia O'Brien,"i hate u, i love u (feat. olivia o'brien)"
Regina Spektor,Hero
Tom Odell,Long Way Down
Lykke Li,No One Ever Loved
Kodaline,All I Want
Jamie Lawson,Wasn't Expecting That
James Bay,Let It Go
Tom Odell,Another Love
AURORA,"Murder Song (5, 4, 3, 2, 1)"
Christina Aguilera,Hurt
Céline Dion,All By Myself
Samantha Barks,On My Own
Édith Piaf,La vie en rose
Florence + The Machine,"No Light, No Light - MTV Unplugged, 2012"
Avril Lavigne,Too Much to Ask
Ruth B.,Lost Boy
Birdy,Skinny Love
Tom Odell,Heal
Labrinth,Jealous
M83,Wait
Christina Perri,human
A Great Big World;Christina Aguilera,Say Something
Birdy,People Help The People
Fergie,Big Girls Don't Cry (Personal)
Sleeping At Last,I'm Gonna Be (500 Miles)
Adele,Someone Like You
Adele,Make You Feel My Love
The Script,Six Degrees of Separation
Sticky Fingers,These Girls
Beyoncé,Broken-Hearted Girl
Charlie Puth;Selena Gomez,We Don't Talk Anymore (feat. Selena Gomez)
James Blunt,Goodbye My Lover
James Blunt,You're Beautiful
Amy Winehouse,Love Is A Losing Game
Bruno Mars,When I Was Your Man
Christina Perri,A Thousand Years
Snow Patrol,Chasing Cars
The Cinematic Orchestra,To Build A Home (feat. Patrick Watson)
Maroon 5,She Will Be Loved
Jake Bugg,Broken - Single Version
Sticky Fingers,Rum Rage
AURORA,"Murder Song (5, 4, 3, 2, 1) [Acoustic]"
Coldplay,Fix You
Beyoncé,If I Were a Boy
Adele,Turning Tables
Ella Eyre,We Don't Have To Take Our Clothes Off
Calum Scott,Dancing On My Own
The Who,Behind Blue Eyes
Ruth B.,Superficial Love
Haley Reinhart,Can't Help Falling in Love
The Velvet Underground;Nico,Sunday Morning
The Velvet Underground,Pale Blue Eyes
Frédéric Chopin;Luis Fernando Perez,Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1
P!nk;Nate Ruess,Just Give Me a Reason
Colbie Caillat,Try
The Fray,You Found Me
Gotye;Kimbra,Somebody That I Used To Know
The Notorious B.I.G.,Suicidal Thoughts
David Bowie,Rock 'N' Roll Suicide - 2012 Remastered Version
James Arthur,Say You Won't Let Go
Passenger,Let Her Go
Plain White T's,Hey There Delilah
Anne Hathaway,"I Dreamed A Dream - From ""Les Misérables"""
Jake Bugg,Broken
Ellie Goulding,Your Song
Twenty One Pilots,Cancer
Kodaline,High Hopes
Jake Bugg,Simple As This
The Lumineers,Ho Hey
Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic"""
Sia,Elastic Heart - Piano Version
Katy Perry,The One That Got Away - Acoustic
Maroon 5,She Will Be Loved - Acoustic
Sam Smith,Latch - Acoustic
Lily Allen,Somewhere Only We Know
Florence + The Machine,Shake It Out - Acoustic
Years & Years,King - Acoustic
Gabrielle Aplin,Please Don't Say You Love Me - The Rak Sessions
Green Day,Good Riddance (Time of Your Life)
Billie Eilish,ocean eyes
Broadcast,Tears In The Typing Pool
Sia,Chandelier - Piano Version
Maroon 5,Misery - Acoustic
Bastille,Bad Blood - Live Piano Version
Imagine Dragons,Demons - Live London Sessions / 2013
Ed Sheeran,The A Team - Acoustic
Sigma;Rita Ora,Coming Home - Acoustic
James Bay,If You Ever Wanna Be In Love - James Bay Spotify Session 2015
Florence + The Machine,"Dog Days Are Over - MTV Unplugged, 2012"
Jasmine Thompson,Ain't Nobody (Loves Me Better) - Acoustic
Angus & Julia Stone,Stay With Me - Live From Spotify Berlin
Birdy,Wings - Acoustic
Skylar Grey,Love The Way You Lie - Part III (Original Demo)
Colbie Caillat,Bubbly - Acoustic Version
James Bay,"If I Ain't Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover"""
Justin Bieber,What Do You Mean? - Acoustic
Passenger,Let Her Go - Acoustic
Amy Winehouse,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007"
R.E.M.,Everybody Hurts
Ed Sheeran,Supermarket Flowers
Daniel Powter,Bad Day
Hozier,Cherry Wine - Live
Harry Styles,Sign of the Times
Gabrielle Aplin,The Power of Love
The Who,Love Reign O'er Me - 1996 Remastered Version
Skeeter Davis,The End of the World
Hozier,Take Me to Church - Live From Spotify London
Skeeter Davis,Moonlight Promises
Rihanna,Take A Bow - Main
Rihanna,What Now
Sam Smith;John Legend,Lay Me Down
Nicki Minaj,Grand Piano
Labrinth;Emeli Sandé,Beneath Your Beautiful
Arctic Monkeys,Only Ones Who Know
Guns N' Roses,Don't Cry (Original)
Matchbox Twenty,Unwell
P!nk,Sober
Beyoncé,Halo
Ed Sheeran,Thinking Out Loud
Harry Chapin,Cats In The Cradle
Lana Del Rey,Old Money
Regina Spektor,Samson
Jess Glynne,My Love - Acoustic
Foxes,Clarity - Acoustic
Lana Del Rey,Pretty When You Cry
Gavin James,Nervous - Acoustic
James TW,When You Love Someone - Acoustic
Lorde,Liability
James Vincent McMorrow,"Wicked Game - Recorded Live at St Canice Cathedral, Kilkenny"
Noah Cyrus;Labrinth,Make Me (Cry) - Acoustic Version
Kodaline,Love Like This - Acoustic
Astrid S,Paper Thin - Live From Studio
Rihanna;Mikky Ekko,Stay - Album Version (Edited)
nash;Olivia O'Brien,"i hate u, i love u (feat. olivia o'brien)"
Justin Bieber,Love Yourself
Alessia Cara,River Of Tears
Adele,Rumour Has It
Selena Gomez,Same Old Love
Adele,Someone Like You
Gotye;Kimbra,Somebody That I Used To Know
Conrad Sewell,Start Again
Sam Smith,Stay With Me
Shawn Mendes,Stitches
G.R.L.,Ugly Heart
Charlie Puth;Selena Gomez,We Don't Talk Anymore (feat. Selena Gomez)
Justin Bieber,What Do You Mean?
Conrad Sewell,Who You Lovin
Miley Cyrus,Wrecking Ball
5 Seconds of Summer,Amnesia
Iggy Azalea;Rita Ora,Black Widow
Jason Derulo,Cheyenne
Ed Sheeran,Don't
Daya,Hide Away
One Direction,History
Maroon 5;Wiz Khalifa,Payphone
Adam Lambert,Ghost Town
Passenger,Let Her Go
Bon Jovi,You Give Love A Bad Name
Train,Drive By
Adele,Hello
James Arthur,Say You Won't Let Go
Melanie Martinez,Pity Party
Guy Sebastian;Lupe Fiasco,Battle Scars
Shawn Mendes,Mercy
Bruno Mars,When I Was Your Man
A Great Big World;Christina Aguilera,Say Something
Birdy,Skinny Love
James Bay,Let It Go
P!nk;Nate Ruess,Just Give Me a Reason
Christina Perri,Jar of Hearts
John Legend,All of Me
Jason Mraz,I Won't Give Up
Kelly Clarkson,Because of You
Bruno Mars,It Will Rain
Calum Scott,Dancing On My Own
Miley Cyrus,When I Look At You
Sam Smith,I'm Not The Only One
Ed Sheeran,All Of The Stars
Justin Bieber;Big Sean,As Long As You Love Me
Justin Bieber,Nothing Like Us - Bonus Track
OneRepublic,Apologize
Ariana Grande,Just A Little Bit Of Your Heart
Demi Lovato,Warrior
Ne-Yo,So Sick
Aquilo,Losing You
One Direction,18
Shawn Mendes;Camila Cabello,I Know What You Did Last Summer
George Ezra,Coat of Armour
The Script,The Man Who Can't Be Moved
Grace;G-Eazy,You Don't Own Me
John Legend,Love Me Now
Beyoncé,Irreplaceable
Jane X?,I Don't Wanna
Panic! At The Disco,This Is Gospel
Shawn Mendes,A Little Too Much
Justin Bieber,Life Is Worth Living
Colbie Caillat,Try
Jessie J,Who You Are
Rihanna;Mikky Ekko,Stay
Christina Perri,human
ZAYN,PILLOWTALK
Little Mix,Shout Out to My Ex
Labrinth,Jealous
Sara Bareilles,Gravity
James Arthur,Suicide
Noah Cyrus;Labrinth,Make Me (Cry)
Carrie Underwood,Before He Cheats
Kodaline,All I Want
Marc E. Bassy;G-Eazy,You & Me
Katy Perry,The One That Got Away - Acoustic
Demi Lovato,Stone Cold
Sam Smith,Not In That Way
Ariana Grande;Nathan Sykes,Almost Is Never Enough
Ed Sheeran,Happier
Ed Sheeran,Dive
Michael Bolton,How Am I Supposed to Live Without You
Adele,Make You Feel My Love
Rihanna,Close To You
Taylor Swift;The Civil Wars,Safe & Sound - The Hunger Games/Soundtrack Version
Christina Perri,A Thousand Years
Ariana Grande,My Everything
Ellie Goulding,How Long Will I Love You - Bonus Track
Rihanna,California King Bed
Justin Bieber,That Should Be Me
Sam Smith,Leave Your Lover
John Mayer,Still Feel Like Your Man
Adele,Turning Tables
Birdy,People Help The People
Camila Cabello,Crying in the Club
The Vamps;Martin Jensen,Middle Of The Night
Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic"""
Kelly Clarkson,Since U Been Gone
Snakehips;M?,Don't Leave
Little Mix,Shout Out to My Ex
Beyoncé,Best Thing I Never Had
Beyoncé,Single Ladies (Put a Ring on It)
Beyoncé,Broken-Hearted Girl
Beyoncé,Honesty
Troye Sivan,The Fault in Our Stars
P!nk;Nate Ruess,Just Give Me a Reason
Whitney Houston,I Have Nothing
Ed Sheeran,Photograph
blackbear,do re mi
Shawn Mendes,Treat You Better
Shawn Mendes,Mercy
Shawn Mendes,Three Empty Words
Cash Cash;Conor Maynard,All My Love (feat. Conor Maynard)
Taylor Mathews,I Don't Want to Love You
Grey;Bahari,I Miss You
Adele,When We Were Young
Demi Lovato,Skyscraper
Paramore,Still Into You
Ellie Goulding,"Still Falling For You - From ""Bridget Jones's Baby"""
Kelly Clarkson,Piece by Piece
Kelly Clarkson,Someone
Kelly Clarkson,Tightrope
Cheat Codes;Demi Lovato,No Promises (feat. Demi Lovato)
Aquilo,Silhouette
We The Kings;Elena Coats,Sad Song (feat. Elena Coats)
Ed Sheeran,All Of The Stars
Sam Smith,Not In That Way
Flume;kai,Never Be Like You
5 Seconds of Summer,Amnesia
Jason Mraz,I Won't Give Up
Snow Patrol,Chasing Cars
ZAYN;Taylor Swift,"I Don't Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
Calum Scott,Dancing On My Own
Billie Eilish,ocean eyes
Billie Eilish,watch
Olivia O'Brien,RIP
Olivia O'Brien,Trust Issues
Maroon 5,She Will Be Loved
Tori Kelly;Ed Sheeran,I Was Made For Loving You
Bruno Mars,Grenade
Demi Lovato,Sorry Not Sorry
One Direction,Night Changes
Little Mix;Sean Paul,Hair
One Direction,Steal My Girl
Little Mix;Machine Gun Kelly,No More Sad Songs (feat. Machine Gun Kelly)
Lana Del Rey,Young And Beautiful
Adele,All I Ask
Demi Lovato,Fix A Heart
Ariana Grande;Big Sean,Best Mistake
Avril Lavigne,Girlfriend
Beyoncé,Single Ladies (Put a Ring on It)
Katy Perry,Hot N Cold
Louis Tomlinson;Bebe Rexha;Digital Farm Animals,Back to You (feat. Bebe Rexha & Digital Farm Animals)
Lady Gaga,Bad Romance
Itch;Megan Joy,Another Man (feat. Megan Joy)
Fergie,Big Girls Don't Cry (Personal)
Sam Smith,Make It To Me
X Ambassadors,Unsteady
The Script,Breakeven
Niall Horan,This Town
Taylor Swift,Look What You Made Me Do
James Arthur,Impossible
Taylor Swift,We Are Never Ever Getting Back Together
Taylor Swift,Bad Blood
Taylor Swift,You Belong With Me
Plain White T's,Hey There Delilah
Taylor Swift,Blank Space
Taylor Swift,The Story Of Us
Taylor Swift,You Belong With Me
James Carter;Ilira,Lost Without You (feat. Ilira)
Cher,Believe
Sam Smith,Too Good At Goodbyes - Edit
Khalid,Location
Khalid,Another Sad Love Song
Zara Larsson,I Can't Fall in Love Without You
Lady Antebellum,Need You Now
James Vincent McMorrow,Higher Love
Jamie Lawson,Wasn't Expecting That
Ron Pope,A Drop In The Ocean
Ed Sheeran,Supermarket Flowers
Rihanna,Take A Bow - Main
The Fray,How to Save a Life
Ruth B.,Lost Boy
FO&O,Hurt Like We Did
Olly Murs;Demi Lovato,Up
Bruno Mars,Talking To The Moon
Dua Lipa,New Rules
James Blunt,Goodbye My Lover
Nick Jonas,Chainsaw
Hailee Steinfeld,You're Such A
Demi Lovato,Tell Me You Love Me
Demi Lovato,You Don't Do It For Me Anymore
Demi Lovato;Lil Wayne,Lonely
Logic;Alessia Cara;Khalid,1-800-273-8255
Ed Sheeran,Perfect
Beyoncé,If I Were a Boy
Kesha,Praying
Coldplay,The Scientist
James Blunt,You're Beautiful
Lady Gaga,Million Reasons
Labrinth;Emeli Sandé,Beneath Your Beautiful
One Direction,Little Things
Madison Beer,Dead
One Direction,More Than This
Daniela Andrade,Latch
Rihanna,Unfaithful
LANY,The Breakup
LANY,Someone Else
Lily Allen,Fuck You
Cosmo Pyke,Social Sites
Zack Villere,Sand People
Cuco,Lover Is a Day
Rex Orange County,A Song About Being Sad
Phony Ppl,Somehow.
King Krule,Baby Blue
HOMESHAKE,Every Single Thing
Phony Ppl,Why iii Love The Moon.
Zack Villere,Cool
Cage The Elephant,Cigarette Daydreams
BROCKHAMPTON,FACE
Good Morning,Don't Come Home Today
Cuco,Lover Is a Day
Yellow Days,People
Nick Hakim,I Don't Know
Zack Villere,Bloo
Yellow Days,Gap in the Clouds
Rex Orange County,Sunflower
Good Morning,Warned You
Good Morning,Time To Try Again
Yeek,I'm Not Ready
Good Morning,Wednesday
Mild High Club,Tesselation
Good Morning,Once You Know
Smino,Raw
Boys Age,Postcards Holiday
Good Morning,Cosmic Sass
Mild High Club,Homage
Phony Ppl,HelGa.
Good Morning,Before My Ears Explode
Rex Orange County,Best Friend
Rex Orange County,Apricot Princess
TV Girl,Birds Dont Sing
Summer Salt,Rockaway
Peach Pit,Peach Pit
Mild High Club,Windowpane
Crumb,Plants
Raury,All We Need
Cuco,Amor de Siempre
The Walters,Sweet Marie
Cuco,Lava Lamp
Cuco,One and Only
Noname;Cam O'Bi;Raury,Diddy Bop (feat. Cam O'bi & Raury)
Donnie Trumpet & The Social Experiment,Miracle
Noname;Phoelix;Smino;Saba,"Shadow Man (feat. Phoelix, Smino & Saba)"
Summer Salt,Sweet to Me
Faith Eliott,Pyrite Ammonite
Noname,Yesterday
Smino,Anita
Zack Villere,Next
Zack Villere,You Don't Care
Mac Demarco,Chamber Of Reflection
(Sandy) Alex G,Mary
King Krule,Easy Easy
Mndsgn,Camelblues
Unknown Mortal Orchestra,Multi-Love
Triathalon,South Side
