,Unnamed: 0,Artist,Song,lyrics
1594,1594,James Arthur,Say You Won't Let Go,"I met you in the dark
You lit me up
You made me feel as though
I was enough
We danced the night away
We drank too much
I held your hair back when
You were throwing up

Then you smiled over your shoulder
For a minute, I was stone cold sober
I pulled you closer to my chest
And you asked me to stay over
I said, I already told ya
I think that you should get some rest

I knew I loved you then
But you'd never know
'Cause I played it cool when I was scared of letting go
I know I needed you
But I never showed
But I wanna stay with you
Until we're grey and old
Just say you won't let go
Just say you won't let go

I wake you up with some breakfast in bed
I'll bring you coffee
With a kiss on your head
And I'll take the kids to school
Wave them goodbye
And I'll thank my lucky stars for that night

When you looked over your shoulder
For a minute, I forget that I'm older
I wanna dance with you right now, oh
And you look as beautiful as ever
And I swear that everyday you'll get better
You make me feel this way somehow

I'm so in love with you
And I hope you know
Darling your love is more than worth its weight in gold
We've come so far my dear
Look how we've grown
And I wanna stay with you
Until we're grey and old
Just say you won't let go
Just say you won't let go

I wanna live with you
Even when we're ghosts
'Cause you were always there for me
When I needed you most

I'm gonna love you till
My lungs give out
I promise till death we part
Like in our vows
So I wrote this song for you
Now everybody knows
That it's just you and me
Until we're grey and old
Just say you won't let go
Just say you won't let go

Just say you won't let go
Oh, just say you won't let go"
1595,1595,Niykee Heaton;Migos;OG Parker,Bad Intentions,"This is the face I wear treading the riptide
Abysmal oceans where good girls go to die
I wanna love somebody
Wanna feel their love on me
But after everything I still believe in true love
Not being able to find it
Damn it tears me up
And I know it's my fault
I know it's my fault
Let's take a trip, ten thousand miles above the clouds
We can stay up here until we figure it out
I don't wanna go home
Don't wanna be alone, be alone

I've got some damn bad intentions
I've got some damn bad intentions
I got some secrets I forgot to mention
Haven't learned my lesson, woah oh 
I've got some damn bad intentions
I see the world in 25 dimensions
I've seen evil reign over perfection
Blood heat over tension
And I know...

You say you love the way the storms blow
But when it comes you close your window
You hate the fighting in the world
So you bring the battle home and fight until it's yours
Fight until I'm gone
And there's holes on the walls
Written in the sand
Deception on my lips and there's blood on your hands
And I'm tired of keepin' lies
You can see it in my eyes
I don't wanna die

I've just got some damn bad intentions
I've got some damn bad intentions
I got some secrets I forgot to mention
Haven't learned my lesson, woah oh 
I've got some damn bad intentions
I've got some damn bad intentions
I got some secrets I forgot to mention
Haven't learned my lesson, woah oh 

I know we've made a graveyard of this all
I know I don't feel too sober now
I wanna lie awake with your black soul
Count your fears if you let me

Baby I just want your damn bad intentions
I've got some damn bad intentions
I got some secrets I forgot to mention
Haven't learned my lesson, woah oh

I've got some damn bad intentions
I've got some damn bad intentions
I got some secrets I forgot to mention
Haven't learnt my lesson, woah oh"
1597,1597,Kelly Rowland;Lil Wayne,Motivation,"(Kelly Rowland)
Oh lover, don't you dare slow down
Go longer, you can last more rounds
Push harder, you're almost there now
So go lover, make mama proud
And when we're done, I don't wanna feel my legs
And when we're done, I just wanna feel your hands all over me baby
You can't stop there, music still playin' in the background
And you're almost there
You can do it, I believe in you baby
So close from here

Baby I'm a be your motivation
Go, go, go, go
Motivation
Go, go, go, go

(Lil Wayne)
Uh, girl I turn that thing into a rainforest
Rain on my head, call that brainstorming
Yeah this is deep, oh, but I go deeper
Make you lose yourself, and finders keepers
It go green light, go Weezy go
I like to taste that sugar, that sweet and low
But hold up wait, new position
I put her on my plate then I do the dishes
She my motivation, I'm her transportation

'Cause I let her ride, while I drive her crazy
Then I just keep going going, like I'm racing
When I'm done she hold me like a conversation
Weezy, baby

But you can't stop there, music still playin' in the background
And you're almost there
You can do it, I believe in you baby
So close from here

Oh Lover, when you call my name
No other, can do that the same, no
I won't let you, get up out that game, no
So go lover, go on and make me rain

And when we're done, I don't wanna feel my legs
And when we're done, I just wanna feel your hands all over me baby
You can't stop there, music still playin' in the background
And you're almost there
You can do it, I believe in you baby
So close from here

Baby I'm a be your motivation"
1598,1598,Post Malone,Too Young,"I don't wanna die too young
Yeah too young, yeah too young
I don't wana die too young
Too young, too young
Counting bands, hallelujah
'Lujah, 'lujah
I don't wanna die too young
Too young, too young
I've been grinding way too long
Too long, too long, too young

Came up, don't know
I just keep going with the flow
I just wanna go and cop me somethin'
I hit Fairfax, go shopping though
She just wanna hit that bathingroom
Hold that guap like a register
Keep on winning, need that guap though
Like a cash out, need a pop of those
Flowing on to the Galapagos
Running and grab the dough
Man this shit never minimum
Feel like an animal
Yeah bitch I try to keep me cool
Your life never going, never going back
Yeah, I don't wanna die too young
I don't wanna die too young
When I get that cash it's hallelujah

Aye hallelujah, aye hallelujah, aye hallelujah

I don't wanna die too young
Too young, too young

Counting bands, hallelujah
'Lujah, 'lujah
I don't wanna die too young
Too young, too young
I've been grinding way too long

Too long, too long
Way fast, my bitch bad
I skrrr skrr, that coupe fast

My coupe fast, your bitch know
My bitch slow, she do what I say so
And she always keep me on my toes
Poppin' that woe, man I be gone
Just watch me go
Bitches they watching me go
Walking around, aye I pick that band up
Then I go drop that shit off
Pull up in a Porsche, shit poppin' off
Pop that shit off, I got that bitch off
I tell her to knock that shit off
And I got my nut off and she washed my nuts off
I want that shit, I got that shit, pop that shit
Got rich quick, suck my...

You know it make me God damn numb
When I see 'em die I don't wanna die
I don't wanna die too young, too young, too young
Countin' bands hallelujah, 'lujah, 'lujah

Yeah I don't wana die too young, too young
I've been grindin way too long, too long, Too long, too young
(I don't wanna die too young
Too young, too young
Counting bands, hallelujah
'Lujah, 'lujah
I don't wanna die too young
Too young, too young)"
1599,1599,Skylar Grey,"I Know You - From The ""Fifty Shades Of Grey"" Soundtrack","I believe, I believe there's love in you
Gridlocked on the dusty avenues
Inside your heart, just afraid to go
I am more, I am more than innocent
But just take a chance and let me in
And I'll show you ways that you don't know

Don't complicate it
Don't let the past dictate
I have been patient
But slowly 
I'm losing faith

So please
I know you baby
I know you baby
So please
I know you baby
I know you baby

I believe, I believe you could love me
But you're lost on a road to misery
And what I gave to you, I can never get back

Don't complicate it
Don't drive yourself insane
Say what you will but
I know that you want to stay

So please
I know you baby
I know you baby
So please
I know you baby
I know you baby

Chemicals rushing in
I know that it's you that I belong to (I belong to)
I'm burning like a 
Cannonball in the air crashing into who I belong to 

I have been patient
But slowly 
I'm losing faith

Please
I know you baby
I know you baby
So please
I know you baby
I know you baby
So please
(The shadows of your heart
Are hanging in the sweet, sweet air)
I know you baby
I know you baby
So please
(The secrets that you hide
Control us and it's just not fair)
I know you baby
I know you baby

The shadows of your heart
Are hanging in the sweet, sweet air
(I know you baby)
I know you baby
The secrets that you hide
Control us and it's just not fair
(I know you baby)
I know you baby"
1602,1602,Jeremih;Ty Dolla $ign,Impatient,"Know your city, what you're used to
Know I ain't exactly what you're used to
Know you're prolly worried what I'm used to
I don't blame you, what you s'posed do?
Last time we fucked like it was all night
Now you got me thinkin' 'bout you all night
Me and you, seemed like it'd be alright
Long as we can keep it all night

Cup full, yeah I'm on
Poured up, she ready
Leave here, too on
Tell me where I'm headed
Tree leaf, a little O
You know I'm faded
Heart shape and I love that
Come here, down with it
I, can't
I can't keep my eyes off your face
Let alone talk bout your body
I've been waiting for so long
Girl you just don't know, no

Still dippin' through the city with the top down
Shawty got that show-me-what-you-'bout-now
I ain't waitin' for tonight, I'm talkin' right now
Still know my way right with the lights down
Set it down every time you go low
Ain't nobody worried if we on it solo
You know when we creepin' it be alright
I kill it 'til you say it's all mine

Know your city, what you're used to
Know I ain't exactly what you're used to
Know you're prolly worried what I'm used to
I don't blame you, what you s'posed do?
Last time we fucked like it was all night
Now you got me thinkin' 'bout you all night
Me and you, seemed like it'd be alright
Long as we can keep it all night

Cup full, yeah I'm on
Poured up, she ready
Leave here, too on
Tell me where I'm headed
Tree leaf, a little O
You know I'm faded
Heart shape and I love that
Come here, down with it
I, can't
I can't keep my eyes off your face
Let alone talk bout your body
I've been waiting for so long
Girl you just don't know, no

Tell the Bay I'm ready, bae I'm on it
I can go all the way until the mornin'
We could do all different type of positions
I'm a have you suckin' on my fingers while I hit it
From the back, you like it like that
I know 50 different ways to make you climax
You got the flavored oil, girl you nasty
Rubbin' lotion on you, you ain't even ashy
Tryna get you to the room and take you down
Come give it to a thug
Give it to a real one

Cup full, yeah I'm on
Poured up, she ready
Leave here, too on
Tell me where I'm headed
Tree leaf, a little O
You know I'm faded
Heart shape and I love that
Come here, down with it
I, can't
I can't keep my eyes off your face
Let alone talk bout your body
I've been waiting for so long
Girl you just don't know, no"
1603,1603,Hunter Hayes,Love Too Much,"Tell me where did we go wrong
If it's all good intentions
Why are we scared of living
Yeah the weight of the world
It's hold enough to hold already
Why does it gotta be so heavy
Baby it's the little things
Maybe we can change the world
One heart at a time

You can't say you love too much
You can't say you care enough
There's no such thing as reaching to far
We've all got a heart
And you can't say love too much
You can't say love too much

As simple as I word you say
You never know the lives you can change
Never know the souls you can save
And I bet it happens everyday
'Cause everybody's got a story, a past, or a song of glory
Just take a look around
Somebody needs you now
You're somebody's hero somehow

You can't say you love too much
You can't say you care enough
There's no such thing as reaching to far
We've all got a heart
No you can't say love too much
And no you can't say love too much

No
I can't sleep tonight
It's burning in my mind
If I could change the world one heart at a time
Oh I would start with mine

Yeah
(Can't say, can't say)
Oh you can't say

You can't say you love too much
You can't say you care enough
There's no such thing as reaching to far
We've all got a heart
No you can't say love too much
(Can't say can't say)
No you can't say love too much
(Can't say can't say)"
1604,1604,John Mayer,Love Is A Verb,"Love is a verb
It ain't a thing
It's not something you hold
It's not something you scream
When you show me love
I don't need your words
Yeah, love ain't a thing
Love is a verb
Love ain't a thing
Love is a verb

Love ain't a crutch
It ain't an excuse
No you can't get through love
On just a pile of IOUs
Love ain't a drug
Despite what you've heard
Yeah, love ain't a thing
Love is a verb
Love ain't a thing
Love is a verb
So you gotta show me
Love is a verb"
1605,1605,Coldplay,Us Against the World,"Oh, morning come bursting the clouds, amen
Lift off this blindfold, let me see again
And bring back the water, let your ships roll in
In my heart she left a hole

The tightrope that I'm walking just sways and ties
The devil as he's talking with those angel's eyes
And I just want to be there when the lightning strikes
And the saints go marching in

And sing slow it down
Through chaos as it swirls
It's us against the world

Like a river to a raindrop I lost a friend
My drunken as a Daniel in a lion's den
And tonight I know it all has to begin again
So whatever you do, don't let go

And if we could float away
Fly up to the surface and just start again
And lift off before trouble just erodes us in the rain
Just erodes us in the rain
Just erodes us and see roses in the rain

Saying slow it down
Slow it down

Through chaos as it swirls
It's us against the world"
1608,1608,Corinne Bailey Rae,Put Your Records On,"Three little birds, sat on my window
And they told me I don't need to worry
Summer came like cinnamon
So sweet,
Little girls double-dutch on the concrete

Maybe sometimes, we got it wrong, but it's all right
The more things seems to change, the more they stay the same.
Oh, don't you hesitate

Girl, put your records on, tell me your favourite song
You go ahead, let your hair down
Sapphire and faded jeans, I hope you get your dreams,
Just go ahead, let your hair down

You're gonna find yourself somewhere, somehow

Blue as the sky, sunburnt and lonely,
Sipping tea in the bar by the road side,
(Just relax, just relax)
Don't you let those other boys fool you,
Gotta love that afro hairdo

Maybe sometimes, we feel afraid, but it's all right
The more you stay the same, the more they seem to change
Don't you think it's strange?

Girl, put your records on, tell me your favourite song
You go ahead, let your hair down
Sapphire and faded jeans, I hope you get your dreams,
Just go ahead, let your hair down

You're gonna find yourself somewhere, somehow

Just more than I could take, pity for pity's sake
Some nights kept me awake, I thought that I was stronger
When you gonna realise, that you don't even have to try any longer
Do what you want to

Girl, put your records on, tell me your favourite song
You go ahead, let your hair down
Sapphire and faded jeans, I hope you get your dreams,
Just go ahead, let your hair down

Girl, put your records on, tell me your favourite song
You go ahead, let your hair down
Sapphire and faded jeans, I hope you get your dreams,
Just go ahead, let your hair down

Oh, You're gonna find yourself somewhere, somehow"
1609,1609,John Mayer,You're Gonna Live Forever in Me,"A great big bang and dinosaurs
Fiery raining meteors
It all ends unfortunately

But you're gonna live forever in me
I'll guarantee, just wait and see

Parts of me were made by you
And planets keep their distance too
The moon's got a grip on the sea

And you're gonna live forever in me
I guarantee, it's your destiny

Life is full of sweet mistakes
And love's an honest one to make
Time leaves no fruit on the tree

But you're gonna live forever in me
I guarantee, it's just meant to be

And when the pastor rises the pews
From reasons he can't marry you
I'll keep my word and my seat

But you're gonna live forever in me
I'll guarantee, just wait and see"
1610,1610,John Mayer,Love on the Weekend,"It's a Friday, we finally made it
I can't believe I get to see your face
You've been working and I've been waiting
To pick you up and take you from this place

Love on the weekend
Love on the weekend
Like only we can
Like only we can
Love on the weekend
Love on the weekend
I'm coming up and I'm loving every minute of it

You be the DJ, I'll be the driver
You put your feet up in the getaway car
I'm flying fast like a, a wanted man
I want you, baby, like you can't understand

Love on the weekend
Love on the weekend
We found a message in a bottle we were drinking
Love on the weekend
Love on the weekend
I hate your guts 'cause I'm loving every minute of it

I gotta leave ya, it's gonna hurt me
My clothes are dirty and my friends are getting worried
Down there below us, under the clouds
Baby, take my hand and pull me down, down, down, down
And I'll be dreamin' of the next time we can go
Into another seratonin overflow

Love on the weekend
Love on the weekend
I'm busted up but I'm loving every minute of it
(Love on the weekend, love on the weekend)

I'm looking for a little love
I'm looking for a little love, oh yeah
(Love on the weekend, love on the weekend)"
1611,1611,John Mayer,Changing,"I am not done changing
Out on the run, changing
I may be old and I may be young
But I am not done changing

I met me someone changing
We had some fun changing
Sometimes I wonder if she'll be the one
When I am done changing

Some of us stopped running
Some of us went home
Some of us don't got one
So we'll build one of our own

Friends behind their fences
Looking at me strange
Wondering when I'm gonna come to my senses
But I'm still changing
And I can't change my ways

I see the sky changing
Reminds me of my changing
Wish I could tie me a rope 'round the sun
'Cause I am not done changing

Time's been talikn' to me
Whispering in my ear
Saying ""Follow your heart
'Til it tears you apart""
But hearts keep changing
Hearts keep changing
Hearts keep changing
Hearts keep changing
Hearts keep on changing
Hearts keep changing
Hearts keep changing
Hearts keep...

I am not done changing
Out on the run, changing
I may be old and I may be young
But I am not done changing

Changing
Changing
Changing
Changing"
1612,1612,Billy Joel,Vienna,"Slow down, you crazy child
You're so ambitious for a juvenile
But then if you're so smart
Tell me why are you still so afraid?

Where's the fire? What's the hurry about?
You better cool it off before you burn it out
You got so much to do
And only so many hours in a day, hey

But you know that when the truth is told
That you can get what you want or you can just get old
You're gonna kick off before you even get halfway through, ooh
When will you realize Vienna waits for you?

Slow down, you're doing fine
You can't be everything you wanna be before your time
Although it's so romantic on the borderline tonight
Tonight

Too bad, but it's the life you lead 
You're so ahead of yourself that you forgot what you need
Though you can see when you're wrong
You know you can't always see when you're right, you're right

You've got your passion, you've got your pride
But don't you know that only fools are satisfied?
Dream on, but don't imagine they'll all come true, ooh
When will you realize Vienna waits for you?

Slow down, you crazy child
Take the phone off the hook and disappear for a while
It's all right, you can afford to lose a day or two, ooh 
When will you realize Vienna waits for you?

And you know that when the truth is told
That you can get what you want or you can just get old
You're gonna kick off before you even get halfway through, ooh
Why don't you realize Vienna waits for you?
When will you realize Vienna waits for you?"
1613,1613,Owl City,Fireflies,"You would not believe your eyes
If ten million fireflies
Lit up the world as I fell asleep

'Cause they'd fill the open air
And leave teardrops everywhere
You'd think me rude, but I would just stand and stare

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems

'Cause I'd get a thousand hugs
From ten thousand lightning bugs
As they try to teach me how to dance

A foxtrot above my head
A sock hop beneath my bed
A disco ball is just hanging by a thread

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems
(When I fall asleep)

Leave my door open just a crack
(Please take me away from here)
'Cause I feel like such an insomniac
(Please take me away from here)
Why do I tire of counting sheep?
(Please take me away from here)
When I'm far too tired to fall asleep

To ten million fireflies
I'm weird 'cause I hate goodbyes
I got misty eyes as they said farewell
(They said farewell)

But I'll know where several are
If my dreams get real bizarre
'Cause I saved a few and I keep them in a jar
(A jar)

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems
(When I fall asleep)

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems
(When I fall asleep)

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
Because my dreams are bursting at the seams"
1614,1614,James Arthur,Say You Won't Let Go,"I met you in the dark
You lit me up
You made me feel as though
I was enough
We danced the night away
We drank too much
I held your hair back when
You were throwing up

Then you smiled over your shoulder
For a minute, I was stone cold sober
I pulled you closer to my chest
And you asked me to stay over
I said, I already told ya
I think that you should get some rest

I knew I loved you then
But you'd never know
'Cause I played it cool when I was scared of letting go
I know I needed you
But I never showed
But I wanna stay with you
Until we're grey and old
Just say you won't let go
Just say you won't let go

I wake you up with some breakfast in bed
I'll bring you coffee
With a kiss on your head
And I'll take the kids to school
Wave them goodbye
And I'll thank my lucky stars for that night

When you looked over your shoulder
For a minute, I forget that I'm older
I wanna dance with you right now, oh
And you look as beautiful as ever
And I swear that everyday you'll get better
You make me feel this way somehow

I'm so in love with you
And I hope you know
Darling your love is more than worth its weight in gold
We've come so far my dear
Look how we've grown
And I wanna stay with you
Until we're grey and old
Just say you won't let go
Just say you won't let go

I wanna live with you
Even when we're ghosts
'Cause you were always there for me
When I needed you most

I'm gonna love you till
My lungs give out
I promise till death we part
Like in our vows
So I wrote this song for you
Now everybody knows
That it's just you and me
Until we're grey and old
Just say you won't let go
Just say you won't let go

Just say you won't let go
Oh, just say you won't let go"
1615,1615,James Arthur,Can I Be Him,"You walked into the room
And now my heart has been stolen
You took me back in time to when I was unbroken
Now you're all I want
And I knew it from the very first moment
Cause a light came on when I heard that song
And I want you to sing it again

I swear that every word you sing
You wrote them for me
Like it was a private show
But I know you never saw me
When the lights come on and I'm on my own
Will you be there to sing it again
Could I be the one you talk about in all your stories
Can I be him

I heard there was somone but I know he don't deserve you
If you were mine I'd never let anyone hurt you
I wanna dry those tears, kiss those lips
It's all that I've been thinking about
Cause a light came on when I heard that song
And I want you to sing it again

I swear that every word you sing
You wrote them for me
Like it was a private show
But I know you never saw me
When the lights come on and I'm on my own
Will you be there to sing it again
Could I be the one you talk about in all your stories

Can I be the one
Can I be the one
Can I be the one
Oh, can I, can I be him

Want you sing it again
Oh, when you sing it again
Can I be him
Want you sing it again
Oh, when you sing it again
Can I be him

I swear that every word you sing
You wrote them for me
Like it was a private show
But I know you never saw me
When the lights come on and I'm on my own
Will you be there, will you be there
Can I be the one you talk about in all your stories
Can I be him
Can I be him
Can I be him
Can I be him"
1617,1617,Halsey,Not Afraid Anymore,"I am not afraid anymore
Standing in the eye of the storm
Ready to face this, dying to taste this, sick sweet warmth
I am not afraid anymore
I want what you got in store
I'm ready to feed now, get in your seat now

And touch me like you never
And push me like you never
And touch me like you never
'Cause I am not afraid, I am not afraid anymore
No no no

No no no
No no no
No no no
No no no

I am not ashamed anymore
I want something so impure
You better impress now, watching my dress now fall to the floor
Crawling underneath my skin, sweet talk with a hint of sin
Begging you to take me
Devil underneath your grin, sweet thing, but she play to win, heaven gonna hate me

And touch me like you never
And push me like you never
And touch me like you never
'Cause I am not afraid, I am not afraid anymore
No no no

Crawling underneath my skin, sweet talk with a hint of sin
Begging you to take me
Devil underneath your grin, sweet thing, bet you play to win, heaven gonna hate me

And touch me like you never
And push me like you never
And touch me like you never
'Cause I am not afraid, I am not afraid anymore
No no no"
1618,1618,Nick Jonas;Nicki Minaj,Bom Bidi Bom,"I was wrong and you were right
If I was yours and you were mine
But it was all good (yeah)
You were gone and I was back
And I was good and you were bad
But it was all good

'Cause I'm an addict, I'm your patient
Your lips are the medication
Come here baby, yeah, you know just what I want
You got that

Bom bidi bom bom bom bom bom
Bom bidi bom bom
You give me bad bad love
But I love it baby
Love me all night long
If you want baby, like
Bom bidi bom bom bom bom bom
Bom bidi bom bom bom
'Cause you're a bad bad girl
But I love it baby
Love me all night long
If you want baby, yeah
Bom bodi bom bode bode bom bom
Bom bodi bom bode bode bom bom
Bom bodi bom bode bode bom bom
Bom bodi bom bode bode bom bom

You played it front, I played it back
You be the first, I be the last
I call it good love
Every kiss and every touch
It's like a hit ain't enough
I call it good love

'Cause I'm an addict, I'm your patient
Your lips are the medication
Come here baby, yeah, you know just what I want
You got that

Bom bidi bom bom bom bom bom
Bom bidi bom bom
You give me bad bad love
But I love it baby
Love me all night long
If you want baby, like
Bom bidi bom bom bom bom bom
Bom bidi bom bom bom
'Cause you're a bad bad girl
But I love it baby
Love me all night long
If you want baby, yeah
Bom bodi bom bode bode bom bom
Bom bodi bom bode bode bom bom
Bom bodi bom bode bode bom bom

Yo, b-b-b-b-bye, b-b-b-b-bye
He said, if he can't hit my bullseye, he'd rather die
He put it on me better than any other guy
He said, he need a bad bitch with an alibi
Yo, give me the muny, the yen and the pesos
Sext me on the beach in Turks and Caicos
I give him that work, that twerk, that slay hoes
Sippin' Grey Goose, and pushin' that grey ghost
Uh, assume the position when you see a bad one
The D so good, he just got a And 1
I'm about to blow, and I ain't talking Samsung
I'm about to show him what I do with that tongue

Bom bidi bom bom bom bom bom
Bom bidi bom bom
You give me bad bad love
But I love it baby
Love me all night long
If you want baby, like
Bom bidi bom bom bom bom bom
Bom bidi bom bom bom
'Cause you're a bad bad girl
But I love it baby
Love me all night long
If you want baby, yeah
Bom bodi bom bode bode bom bom
Bom bodi bom bode bode bom bom
Bom bodi bom bode bode bom bom

B-b-b-b-bye, b-b-b-b-bye
He tryna bless me like his rabbi-bi
B-b-b-b-bye"
1619,1619,mansionz;Spark Master Tape,STFU,"Oh, yeah
I ain't hit you back and now you ovary-acting
Hate that shit with a passion, yeah
Have a little self respect, don't want to put you on blast
But you should go 'head and practice

Shut the fuck up right now and let me breathe
Shut the fuck up right now, let me do my thing
Slow down, slow down, slow down
Quit hitting my phone up, quit hitting my phone up
Quit hitting my phone, slow down

I ain't hit you back, now you ovary-acting
I don't play that elastic
You be like, when we gon' fuck, what we gon' do
You should try and quit asking, huh

You should shut the fuck up right now and let me be me (let me be, let me be)
Shut the fuck up right now, let me do my thing (yeah, right)

People talk too much shit
In my face, 'round my back, on the phone
Ain't been famous for a while but I'm still up in my zone
And I don't usually smoke, but I'm high on sativa
There's mugwort in my tea, I smell like heaven, I'm a diva (diva)
Bangin' Aaliyah so loud in my speaker that I can not hear you no, I'm gone
Don't you be blowin' up my phone
I'm in a different time zone
Ever since a matter of time, all my girls is badder than nine
Hope to banish the debt, you hammered, you still don't know how to handle your wine
That's probably why you're hittin' me more
Yeah I've got a rule because I've done this before
Just fuck 'em three times and don't fuck 'em no more
'Cause they just fall in love if you fuck 'em the fourth (woo)
Don't get me right, I really like it when we're vibin'
But when I'm in another city, shh, be quiet

Shut the fuck up right now and let me be me
Shut the fuck up right now, let me do my thing
Slow down, slow down, slow down
Quit hitting my phone up, quit hitting my phone up
Quit hitting my phone, slow down

And I've been off the coke, I've been off the coke (I've been off this coke)
Always ringing phone, always ringing phone (always ringing phone)

Uh, uh, uh
She constantly calling my old bitch
Get up, be gone and go home, bitch
Quit playin' with all of my phone, bitch
Switch numbers, even my wrong shit
These chicks, they cunning
Flip cities, she sticks, still on it
Switched whips, where wake, she saw it
This bitch on my ass, like a pair of my drawers
Any phone I ever own, she call it
She call me at 2, call me at 3
Check I'm a wakkeboi, fukk I gon' be
Wanna grab an eight ball, set your nigga free
Then she walk with a nose bleed on her blue jeans
Dumb bitch, dumb hoe
Don't call my phone, go home
We jettin' out till we made it
Shut the fuck up complainin'

Shut the fuck up right now and let me be me (ay, shut the fuck up bitch)
Shut the fuck up right now, let me do my thing (It's true, but it's simple)
Slow down, slow down, slow down (have a Xanny, SWOUP)
Quit hitting my phone up, quit hitting my phone up (quit hittin' up my fucking phone)
Quit hitting my phone, slow down (SWOUP)"
1620,1620,Ed Sheeran,Dive,"Oh, maybe I came on too strong
Maybe I waited too long
Maybe I played my cards wrong
Oh, just a little bit wrong
Baby I apologise for it

I could fall, or I could fly
Here in your aeroplane
And I could live, I could die
Hanging on the words you say
And I've been known to give my all
And jumping in harder than
Ten thousand rocks on the lake

So don't call me baby
Unless you mean it
And don't tell me you need me
If you don't believe it
So let me know the truth
Before I dive right into you

You're a mystery
I have travelled the world
And there's no other girl like you, no one
No one, what's your history? (What's your history?)
Do you have a tendency to lead some people on?
'Cause I heard you do

I could fall, or I could fly
Here in your aeroplane
And I could live, I could die
Hanging on the words you say
And I've been known to give my all
And lie awake, every day
Don't know how much I can take

So don't call me baby
Unless you mean it
And don't tell me you need me
If you don't believe it
So let me know the truth
Before I dive right into you

I could fall, or I could fly
Here in your aeroplane
And I could live, I could die
Hanging on the words you say
And I've been known to give my all
Sitting back, looking at
Every mess that I made

So don't call me baby
Unless you mean it
And don't tell me you need me
If you don't believe it
So let me know the truth
Before I dive right into you
Before I dive right into you
Before I dive right into you"
1621,1621,Ed Sheeran,Perfect,"I found a love for me
Darling, just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waiting for me

'Cause we were just kids when we fell in love
Not knowing what it was
I will not give you up this time
But darling, just kiss me slow
Your heart is all I own
And in your eyes, you're holding mine

Baby, I'm dancing in the dark with you between my arms
Barefoot on the grass, listening to our favourite song
When you said you looked a mess, I whispered underneath my breath
But you heard it, darling, you look perfect tonight

Well I found a woman, stronger than anyone I know
She shares my dreams, I hope that someday I'll share her home
I found a love, to carry more than just my secrets
To carry love, to carry children of our own

We are still kids, but we're so in love
Fighting against all odds
I know we'll be alright this time
Darling, just hold my hand
Be my girl, I'll be your man
I see my future in your eyes

Baby, I'm dancing in the dark, with you between my arms
Barefoot on the grass, listening to our favourite song
When I saw you in that dress, looking so beautiful
I don't deserve this, darling, you look perfect tonight

Baby, I'm dancing in the dark, with you between my arms
Barefoot on the grass, listening to our favourite song
I have faith in what I see
Now I know I have met an angel in person
And she looks perfect
I don't deserve this
You look perfect tonight"
1622,1622,Ed Sheeran,Happier,"Walking down 29th and park
I saw you in another's arm
Only a month we've been apart
You look happier
Saw you walk inside a bar
He said something to make you laugh
I saw that both your smiles were twice as wide as ours
Yeah, you look happier, you do

Ain't nobody hurt you like I hurt you
But ain't nobody love you like I do
Promise that I will not take it personal, baby
If you're moving on with someone new

'Cause baby you look happier, you do
My friends told me one day I'll feel it too
And until then I'll smile to hide the truth
That I know I was happier with you
(Hey yeah, hey yeah, hey yeah)

Sat on the corner of the room
Everything's reminding me of you
Nursing an empty bottle and telling myself
You're happier, aren't you?
(Hey yeah, hey yeah)

Oh, ain't nobody hurt you like I hurt you (Hey yeah, hey yeah)
But ain't nobody need you like I do (hey yeah, hey yeah)
I know that there's others that deserve you (hey yeah, hey yeah)
But my darling, I am still in love with you

But I guess you look happier, you do
My friends told me one day I'll feel it too
I could try to smile to hide the truth
But I know I was happier with you
(Hey yeah, hey yeah, hey yeah)
(Hey yeah, hey yeah, hey yeah)
(Hey yeah, hey yeah, hey yeah)
(Hey yeah, hey yeah, hey yeah)

'Cause baby, you look happier, you do
I knew one day you'd fall for someone new
But if he breaks your heart like lovers do
Just know that I'll be waiting here for you"
